Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,23.750000,24.080000,23.700001,23.719999,23.719999,3902400
2018-01-17,23.860001,23.860001,23.490000,23.719999,23.719999,3860000
2018-01-18,23.610001,23.660000,23.309999,23.330000,23.330000,4207200
2018-01-19,23.350000,23.440001,23.160000,23.420000,23.420000,3573300
2018-01-22,23.389999,23.730000,23.360001,23.650000,23.650000,3710300
2018-01-23,23.709999,24.360001,23.709999,24.280001,24.280001,5175400
2018-01-24,24.250000,24.350000,24.110001,24.209999,24.209999,4408000
2018-01-25,24.200001,24.389999,24.110001,24.379999,24.379999,3170100
2018-01-26,24.360001,24.420000,24.010000,24.230000,24.230000,2699500
2018-01-29,24.090000,24.129999,23.750000,24.010000,24.010000,2883900
2018-01-30,23.930000,24.080000,23.570000,23.580000,23.580000,3833300
2018-01-31,23.620001,24.219999,23.570000,24.080000,24.080000,7906200
2018-02-01,24.129999,24.309999,23.520000,23.570000,23.570000,3552000
2018-02-02,23.389999,23.920000,23.150000,23.860001,23.860001,4547500
2018-02-05,23.740000,24.020000,23.240000,23.250000,23.250000,7181400
2018-02-06,23.059999,23.590000,22.799999,23.459999,23.459999,7721400
2018-02-07,23.389999,23.889999,23.240000,23.379999,23.379999,5312400
2018-02-08,23.320000,23.500000,22.629999,22.639999,22.639999,5892300
2018-02-09,22.730000,23.370001,22.219999,23.209999,23.209999,7007000
2018-02-12,23.219999,23.230000,22.280001,22.850000,22.850000,6320300
2018-02-13,22.780001,22.780001,21.980000,22.555599,22.555599,4306656
